CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004465414FF;09/03/2023;15;0,103;R
ES0021000004465414FF;09/03/2023;16;0,249;R
ES0021000004465414FF;09/03/2023;17;0,154;R
ES0021000004465414FF;09/03/2023;18;0,511;R
ES0021000004465414FF;09/03/2023;19;0,666;R
ES0021000004465414FF;09/03/2023;20;0,72;R
ES0021000004465414FF;09/03/2023;21;0,764;R
ES0021000004465414FF;09/03/2023;22;0,908;R
ES0021000004465414FF;09/03/2023;23;0,705;R
ES0021000004465414FF;09/03/2023;24;0,712;R
ES0021000004465414FF;10/03/2023;1;0,423;R
ES0021000004465414FF;10/03/2023;2;0,428;R
ES0021000004465414FF;10/03/2023;3;0,211;R
ES0021000004465414FF;10/03/2023;4;0,1;R
ES0021000004465414FF;10/03/2023;5;0,163;R
ES0021000004465414FF;10/03/2023;6;0,108;R
ES0021000004465414FF;10/03/2023;7;0,163;R
ES0021000004465414FF;10/03/2023;8;0,296;R
ES0021000004465414FF;10/03/2023;9;0,389;R
ES0021000004465414FF;10/03/2023;10;0,227;R
ES0021000004465414FF;10/03/2023;11;0,531;R
ES0021000004465414FF;10/03/2023;12;0,422;R
ES0021000004465414FF;10/03/2023;13;0,615;R
ES0021000004465414FF;10/03/2023;14;0,626;R
ES0021000004465414FF;10/03/2023;15;1,433;R
ES0021000004465414FF;10/03/2023;16;0,972;R
ES0021000004465414FF;10/03/2023;17;0,77;R
ES0021000004465414FF;10/03/2023;18;1,075;R
ES0021000004465414FF;10/03/2023;19;0,98;R
ES0021000004465414FF;10/03/2023;20;0,788;R
ES0021000004465414FF;10/03/2023;21;1,155;R
ES0021000004465414FF;10/03/2023;22;1,138;R
ES0021000004465414FF;10/03/2023;23;1,059;R
ES0021000004465414FF;10/03/2023;24;0,906;R
ES0021000004465414FF;11/03/2023;1;0,619;R
ES0021000004465414FF;11/03/2023;2;0,441;R
ES0021000004465414FF;11/03/2023;3;0,175;R
ES0021000004465414FF;11/03/2023;4;0,211;R
ES0021000004465414FF;11/03/2023;5;0,179;R
ES0021000004465414FF;11/03/2023;6;0,133;R
ES0021000004465414FF;11/03/2023;7;0,157;R
ES0021000004465414FF;11/03/2023;8;0,115;R
ES0021000004465414FF;11/03/2023;9;0,265;R
ES0021000004465414FF;11/03/2023;10;0,296;R
ES0021000004465414FF;11/03/2023;11;0,411;R
ES0021000004465414FF;11/03/2023;12;0,625;R
ES0021000004465414FF;11/03/2023;13;0,866;R
ES0021000004465414FF;11/03/2023;14;0,722;R
ES0021000004465414FF;11/03/2023;15;0,926;R
ES0021000004465414FF;11/03/2023;16;0,765;R
ES0021000004465414FF;11/03/2023;17;0,669;R
ES0021000004465414FF;11/03/2023;18;0,341;R
ES0021000004465414FF;11/03/2023;19;0,313;R
ES0021000004465414FF;11/03/2023;20;0,33;R
ES0021000004465414FF;11/03/2023;21;0,422;R
ES0021000004465414FF;11/03/2023;22;0,339;R
ES0021000004465414FF;11/03/2023;23;0,536;R
ES0021000004465414FF;11/03/2023;24;0,903;R
ES0021000004465414FF;12/03/2023;1;0,89;R
ES0021000004465414FF;12/03/2023;2;0,697;R
ES0021000004465414FF;12/03/2023;3;0,159;R
ES0021000004465414FF;12/03/2023;4;0,107;R
ES0021000004465414FF;12/03/2023;5;0,14;R
