Fecha de la medida;Hora de la medida;Medida de la magnitud activa entrante;Método de obtención
18/11/2022;9;153;R
18/11/2022;10;163;R
18/11/2022;11;61;R
18/11/2022;12;73;R
18/11/2022;13;52;R
18/11/2022;14;51;R
18/11/2022;15;417;R
18/11/2022;16;254;R
18/11/2022;17;90;R
18/11/2022;18;195;R
18/11/2022;19;52;R
18/11/2022;20;51;R
18/11/2022;21;51;R
18/11/2022;22;120;R
18/11/2022;23;94;R
18/11/2022;24;76;R
19/11/2022;1;67;R
19/11/2022;2;66;R
19/11/2022;3;67;R
19/11/2022;4;67;R
19/11/2022;5;66;R
19/11/2022;6;65;R
19/11/2022;7;63;R
19/11/2022;8;63;R
19/11/2022;9;94;R
19/11/2022;10;163;R
19/11/2022;11;448;R
19/11/2022;12;155;R
19/11/2022;13;249;R
19/11/2022;14;326;R
19/11/2022;15;362;R
19/11/2022;16;121;R
19/11/2022;17;59;R
19/11/2022;18;89;R
19/11/2022;19;167;R
19/11/2022;20;157;R
19/11/2022;21;123;R
19/11/2022;22;127;R
19/11/2022;23;115;R
19/11/2022;24;104;R
20/11/2022;1;86;R
20/11/2022;2;68;R
20/11/2022;3;55;R
20/11/2022;4;50;R
20/11/2022;5;51;R
20/11/2022;6;49;R
20/11/2022;7;48;R
20/11/2022;8;47;R
20/11/2022;9;93;R
20/11/2022;10;123;R
20/11/2022;11;341;R
20/11/2022;12;78;R
20/11/2022;13;60;R
20/11/2022;14;124;R
20/11/2022;15;1091;R
20/11/2022;16;293;R
20/11/2022;17;95;R
20/11/2022;18;136;R
20/11/2022;19;173;R
20/11/2022;20;160;R
20/11/2022;21;126;R
20/11/2022;22;113;R
20/11/2022;23;531;R
20/11/2022;24;95;R
21/11/2022;1;57;R
21/11/2022;2;50;R
21/11/2022;3;50;R
21/11/2022;4;52;R
21/11/2022;5;52;R
21/11/2022;6;51;R
21/11/2022;7;50;R
21/11/2022;8;114;R
21/11/2022;9;252;R
21/11/2022;10;111;R
21/11/2022;11;111;R
21/11/2022;12;111;R
21/11/2022;13;727;R
21/11/2022;14;1087;R
