#{"t_start": 1710201126.565544, "env_id": "microgrid-v0"}
r,l,t
35.388479,1024,162.007079
41.924746,1024,162.229882
30.933325,1024,162.453397
24.95279,1024,162.678209
23.499437,1024,162.900282
37.270115,1024,163.128107
35.850807,1024,163.352244
47.867701,1024,163.577788
50.459588,1024,163.803507
42.242356,1024,164.038963
32.717967,1024,164.261236
25.891519,1024,164.491304
27.811074,1024,164.714255
40.753387,1024,164.939408
46.010235,1024,165.164176
40.805193,1024,165.386747
22.889544,1024,165.608637
38.19449,1024,165.83252
52.093443,1024,166.056664
43.056571,1024,166.280135
37.019287,1024,166.504623
34.487175,1024,166.728756
26.08825,1024,166.950748
40.637957,1024,167.176903
46.341126,1024,167.400669
49.78326,1024,167.625556
50.589518,1024,167.854597
52.267603,1024,168.079041
45.94863,1024,168.302321
46.862955,1024,168.528355
48.623881,1024,168.764969
47.073923,1024,168.999855
38.222462,1024,169.234879
31.440988,1024,169.47152
43.165128,1024,169.706523
28.337968,1024,169.943458
32.502965,1024,170.179743
40.438965,1024,170.416303
47.137462,1024,170.651917
34.791451,1024,170.887558
37.276393,1024,171.122775
50.465215,1024,171.357359
43.33557,1024,171.584707
45.197884,1024,171.809242
41.611027,1024,172.033367
38.7561,1024,172.257376
45.899283,1024,172.481113
36.49355,1024,172.716077
41.954579,1024,172.956552
34.838522,1024,173.184904
42.055736,1024,173.432092
23.19303,1024,173.660658
32.66737,1024,173.888711
43.735899,1024,174.115851
45.227123,1024,174.339779
19.488449,1024,174.566893
40.412157,1024,174.797245
18.896394,1024,175.020966
54.553642,1024,175.246357
21.635199,1024,175.469752
40.34846,1024,175.693197
47.042218,1024,175.924433
45.809347,1024,176.150022
53.970597,1024,176.379606
46.131586,1024,176.614365
39.766572,1024,176.838179
38.208669,1024,177.062704
41.428031,1024,177.297008
45.223562,1024,177.519601
42.160223,1024,177.743176
40.4309,1024,177.969368
37.647056,1024,178.193209
39.213738,1024,178.428314
38.099412,1024,178.656846
40.730457,1024,178.879594
38.879551,1024,179.104144
33.126833,1024,179.329146
26.823669,1024,179.551205
49.009422,1024,179.780699
17.775279,1024,180.000698
28.682355,1024,180.247083
31.85015,1024,180.483701
18.958896,1024,180.708507
37.952225,1024,180.934865
39.352725,1024,181.161566
44.482055,1024,181.390965
45.830891,1024,181.614911
44.457615,1024,181.840235
29.253381,1024,182.063256
47.267875,1024,182.286742
24.999624,1024,182.509344
37.327939,1024,182.732465
34.545393,1024,182.965101
52.594379,1024,183.213905
52.021302,1024,183.452596
33.886441,1024,183.676459
47.497048,1024,183.903726
39.846926,1024,184.127465
33.164497,1024,184.350676
36.627046,1024,184.580373
55.303806,1024,184.804255
38.288554,1024,185.032088
35.503338,1024,185.262093
53.058633,1024,185.498189
32.299238,1024,185.733583
24.19499,1024,185.967007
37.626392,1024,186.189222
56.945266,1024,186.415893
46.250419,1024,186.638911
34.921205,1024,186.864066
42.287883,1024,187.087013
44.556299,1024,187.315712
37.462938,1024,187.541048
44.040865,1024,187.770631
35.209105,1024,187.997213
29.009335,1024,188.220522
51.993836,1024,188.443076
30.574366,1024,188.6677
47.122431,1024,188.891205
45.789101,1024,189.114339
39.960746,1024,189.356298
43.348155,1024,189.579635
35.113949,1024,189.804431
47.024911,1024,190.030827
46.296688,1024,190.255366
54.617771,1024,190.479792
16.849678,1024,190.706243
25.299337,1024,190.931392
43.973324,1024,191.158171
42.624115,1024,191.386482
22.743088,1024,191.609992
34.080845,1024,191.833951
24.236179,1024,192.056907
37.032586,1024,192.281503
35.355177,1024,192.505176
43.93013,1024,192.729107
20.854082,1024,192.95107
33.556178,1024,193.178661
52.085199,1024,193.414399
22.438644,1024,193.647251
21.070884,1024,193.870009
34.024511,1024,194.092622
41.88391,1024,194.315884
40.348856,1024,194.543264
39.830985,1024,194.778824
35.714483,1024,195.004841
24.17674,1024,195.231966
46.933219,1024,195.455133
40.592895,1024,195.696771
55.146783,1024,195.942823
35.941182,1024,196.175083
49.505904,1024,196.399001
45.715067,1024,196.62749
37.509671,1024,196.86342
47.808865,1024,197.099332
35.098132,1024,197.329148
25.875715,1024,197.552206
35.682038,1024,197.777695
36.373665,1024,198.003149
37.301998,1024,198.227478
49.125739,1024,198.450923
24.833084,1024,198.681901
41.993419,1024,198.910459
48.485766,1024,199.140609
38.26108,1024,199.372961
27.048104,1024,199.599107
43.313639,1024,199.829869
27.168698,1024,200.056602
36.023221,1024,200.279595
31.246633,1024,200.503161
32.376553,1024,200.730252
35.895034,1024,200.954634
43.022604,1024,201.177488
32.750045,1024,201.410563
39.49383,1024,201.645973
39.384572,1024,201.871435
23.69782,1024,202.094972
46.85182,1024,202.318243
34.774511,1024,202.542253
48.612522,1024,202.767109
19.12713,1024,202.991002
37.224,1024,203.216837
35.719244,1024,203.453459
35.906526,1024,203.688613
43.111987,1024,203.920367
23.052433,1024,204.15062
34.174543,1024,204.372826
35.962061,1024,204.598581
23.206625,1024,204.829906
36.813864,1024,205.054167
42.094214,1024,205.278245
46.106859,1024,205.512592
42.132295,1024,205.74787
24.408672,1024,205.982853
20.136364,1024,206.215073
45.278263,1024,206.440757
28.054588,1024,206.674139
30.411519,1024,206.899531
43.915438,1024,207.123317
48.410862,1024,207.355229
37.000489,1024,207.580656
37.416539,1024,207.807641
47.392121,1024,208.039917
38.948968,1024,208.265523
36.560543,1024,208.489109
34.17907,1024,208.717705
36.611531,1024,208.941388
39.898178,1024,209.166819
43.310536,1024,209.393003
34.91221,1024,209.623367
18.63409,1024,209.854051
36.766003,1024,210.08701
22.812356,1024,210.314045
26.762624,1024,210.541831
47.403127,1024,210.772847
40.904695,1024,210.998591
49.588897,1024,211.225768
47.072815,1024,211.465682
39.372948,1024,211.689116
39.337744,1024,211.912558
