P (kW);Time
0.0;2018-01-28 01:10:00
0.0;2018-01-28 02:10:00
0.0;2018-01-28 03:10:00
0.0;2018-01-28 04:10:00
0.0;2018-01-28 05:10:00
0.0;2018-01-28 06:10:00
0.0;2018-01-28 07:10:00
0.14372;2018-01-28 08:10:00
0.47305;2018-01-28 09:10:00
0.5803400000000001;2018-01-28 10:10:00
0.73234;2018-01-28 11:10:00
0.79006;2018-01-28 12:10:00
0.73845;2018-01-28 13:10:00
0.60341;2018-01-28 14:10:00
0.5421699999999999;2018-01-28 15:10:00
0.27505;2018-01-28 16:10:00
0.0;2018-01-28 17:10:00
0.0;2018-01-28 18:10:00
0.0;2018-01-28 19:10:00
0.0;2018-01-28 20:10:00
0.0;2018-01-28 21:10:00
0.0;2018-01-28 22:10:00
0.0;2018-01-28 23:10:00
0.0;2018-01-29 00:10:00
0.0;2018-01-29 01:10:00
0.0;2018-01-29 02:10:00
0.0;2018-01-29 03:10:00
0.0;2018-01-29 04:10:00
0.0;2018-01-29 05:10:00
0.0;2018-01-29 06:10:00
0.0;2018-01-29 07:10:00
0.15782;2018-01-29 08:10:00
0.48631;2018-01-29 09:10:00
0.64535;2018-01-29 10:10:00
0.74701;2018-01-29 11:10:00
0.76728;2018-01-29 12:10:00
0.76513;2018-01-29 13:10:00
0.6845399999999999;2018-01-29 14:10:00
0.53403;2018-01-29 15:10:00
0.32888999999999996;2018-01-29 16:10:00
0.0;2018-01-29 17:10:00
0.0;2018-01-29 18:10:00
0.0;2018-01-29 19:10:00
0.0;2018-01-29 20:10:00
0.0;2018-01-29 21:10:00
0.0;2018-01-29 22:10:00
0.0;2018-01-29 23:10:00
0.0;2018-01-30 00:10:00
0.0;2018-01-30 01:10:00
0.0;2018-01-30 02:10:00
0.0;2018-01-30 03:10:00
0.0;2018-01-30 04:10:00
0.0;2018-01-30 05:10:00
0.0;2018-01-30 06:10:00
0.0;2018-01-30 07:10:00
0.22047;2018-01-30 08:10:00
0.53037;2018-01-30 09:10:00
0.6519299999999999;2018-01-30 10:10:00
0.78879;2018-01-30 11:10:00
0.7809400000000001;2018-01-30 12:10:00
0.7742100000000001;2018-01-30 13:10:00
0.6799700000000001;2018-01-30 14:10:00
0.54034;2018-01-30 15:10:00
0.33185000000000003;2018-01-30 16:10:00
0.0046500000000000005;2018-01-30 17:10:00
0.0;2018-01-30 18:10:00
0.0;2018-01-30 19:10:00
0.0;2018-01-30 20:10:00
0.0;2018-01-30 21:10:00
0.0;2018-01-30 22:10:00
0.0;2018-01-30 23:10:00
0.0;2018-01-31 00:10:00
0.0;2018-01-31 01:10:00
0.0;2018-01-31 02:10:00
0.0;2018-01-31 03:10:00
0.0;2018-01-31 04:10:00
0.0;2018-01-31 05:10:00
0.0;2018-01-31 06:10:00
0.0;2018-01-31 07:10:00
0.1757;2018-01-31 08:10:00
0.48885;2018-01-31 09:10:00
0.65119;2018-01-31 10:10:00
0.76225;2018-01-31 11:10:00
0.77786;2018-01-31 12:10:00
0.77475;2018-01-31 13:10:00
0.6723600000000001;2018-01-31 14:10:00
0.53398;2018-01-31 15:10:00
0.33825;2018-01-31 16:10:00
0.00782;2018-01-31 17:10:00
0.0;2018-01-31 18:10:00
0.0;2018-01-31 19:10:00
0.0;2018-01-31 20:10:00
0.0;2018-01-31 21:10:00
0.0;2018-01-31 22:10:00
0.0;2018-01-31 23:10:00
0.0;2018-02-01 00:10:00
0.0;2018-02-01 01:10:00
0.0;2018-02-01 02:10:00
0.0;2018-02-01 03:10:00
0.0;2018-02-01 04:10:00
0.0;2018-02-01 05:10:00
0.0;2018-02-01 06:10:00
0.0;2018-02-01 07:10:00
0.01098;2018-02-01 08:10:00
0.27761;2018-02-01 09:10:00
0.18483000000000002;2018-02-01 10:10:00
0.2596299999999999;2018-02-01 11:10:00
0.63586;2018-02-01 12:10:00
0.7504500000000001;2018-02-01 13:10:00
0.138;2018-02-01 14:10:00
0.15444;2018-02-01 15:10:00
0.10286;2018-02-01 16:10:00
0.0;2018-02-01 17:10:00
0.0;2018-02-01 18:10:00
0.0;2018-02-01 19:10:00
0.0;2018-02-01 20:10:00
0.0;2018-02-01 21:10:00
0.0;2018-02-01 22:10:00
0.0;2018-02-01 23:10:00
0.0;2018-02-02 00:10:00
0.0;2018-02-02 01:10:00
0.0;2018-02-02 02:10:00
0.0;2018-02-02 03:10:00
0.0;2018-02-02 04:10:00
0.0;2018-02-02 05:10:00
0.0;2018-02-02 06:10:00
0.0;2018-02-02 07:10:00
0.09512000000000001;2018-02-02 08:10:00
0.18475;2018-02-02 09:10:00
0.69168;2018-02-02 10:10:00
0.80235;2018-02-02 11:10:00
0.81767;2018-02-02 12:10:00
0.72289;2018-02-02 13:10:00
0.7440599999999999;2018-02-02 14:10:00
0.60415;2018-02-02 15:10:00
0.36424;2018-02-02 16:10:00
0.01348;2018-02-02 17:10:00
0.0;2018-02-02 18:10:00
0.0;2018-02-02 19:10:00
0.0;2018-02-02 20:10:00
0.0;2018-02-02 21:10:00
