Time;Consumo (kWh);ID
2022-02-25 05:00:00;0,152;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 06:00:00;0,669;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 07:00:00;0,323;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 08:00:00;0,239;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 09:00:00;0,18;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 10:00:00;0,28;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 11:00:00;0,358;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 12:00:00;0,307;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 13:00:00;0,294;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 14:00:00;0,772;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 15:00:00;0,386;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 16:00:00;0,342;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 17:00:00;0,341;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 18:00:00;0,367;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 19:00:00;0,387;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 20:00:00;0,407;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 21:00:00;0,36;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 22:00:00;0,433;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 23:00:00;0,405;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 00:00:00;0,249;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 01:00:00;0,188;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 02:00:00;0,233;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 03:00:00;0,146;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 04:00:00;0,185;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 05:00:00;0,131;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 06:00:00;0,182;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 07:00:00;0,488;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 08:00:00;0,265;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 09:00:00;0,454;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 10:00:00;0,212;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 11:00:00;0,409;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 12:00:00;0,536;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 13:00:00;0,787;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 14:00:00;1,875;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 15:00:00;0,732;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 16:00:00;0,63;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 17:00:00;0,445;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 18:00:00;0,431;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 19:00:00;0,305;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 20:00:00;0,378;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 21:00:00;0,765;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 22:00:00;0,598;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-26 23:00:00;0,352;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 00:00:00;0,347;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 01:00:00;0,196;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 02:00:00;0,205;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 03:00:00;0,137;Casa1_18_02_2022-18_02_2023-R.csv
