time;P;G(i);H_sun;T2m;WS10m;Int
20180110:0210;0.0;0.0;0.0;2.91;0.83;0.0
20180110:0310;0.0;0.0;0.0;3.0;0.69;0.0
20180110:0410;0.0;0.0;0.0;2.96;0.41;0.0
20180110:0510;0.0;0.0;0.0;2.88;0.55;0.0
20180110:0610;0.0;0.0;0.0;2.55;1.31;0.0
20180110:0710;0.0;0.0;0.0;2.21;1.38;0.0
20180110:0810;30.94;50.05;4.51;1.91;1.59;0.0
20180110:0910;58.48;82.07;13.32;2.9;1.93;0.0
20180110:1010;68.41;94.03;20.48;4.53;3.17;0.0
20180110:1110;60.01;84.81;25.42;5.88;3.79;0.0
20180110:1210;213.0;255.2;27.56;6.4;4.28;0.0
20180110:1310;43.36;65.45;26.62;6.59;4.97;0.0
20180110:1410;71.1;97.72;22.73;6.55;5.31;0.0
20180110:1510;140.94;175.05;16.37;6.15;4.21;0.0
20180110:1610;1.58;9.22;8.14;6.18;3.38;0.0
20180110:1710;0.0;0.0;0.0;6.04;2.9;0.0
20180110:1810;0.0;0.0;0.0;5.85;2.83;0.0
20180110:1910;0.0;0.0;0.0;5.97;3.38;0.0
20180110:2010;0.0;0.0;0.0;4.88;3.31;0.0
20180110:2110;0.0;0.0;0.0;3.9;2.97;0.0
20180110:2210;0.0;0.0;0.0;2.94;2.76;0.0
20180110:2310;0.0;0.0;0.0;2.25;2.55;0.0
20180111:0010;0.0;0.0;0.0;1.63;2.41;0.0
20180111:0110;0.0;0.0;0.0;0.95;2.34;0.0
20180111:0210;0.0;0.0;0.0;0.67;2.41;0.0
20180111:0310;0.0;0.0;0.0;0.51;2.48;0.0
20180111:0410;0.0;0.0;0.0;0.47;2.62;0.0
20180111:0510;0.0;0.0;0.0;0.74;2.55;0.0
20180111:0610;0.0;0.0;0.0;0.72;2.48;0.0
20180111:0710;0.0;0.0;0.0;1.23;2.55;0.0
20180111:0810;173.98;212.82;4.56;1.11;2.41;0.0
20180111:0910;413.85;475.57;13.39;2.3;2.14;0.0
20180111:1010;651.13;761.33;20.58;4.36;2.62;0.0
20180111:1110;754.84;886.28;25.54;5.68;4.0;0.0
20180111:1210;779.43;917.08;27.7;6.47;4.55;0.0
20180111:1310;772.95;909.76;26.78;6.83;4.55;0.0
20180111:1410;651.66;760.98;22.9;6.96;4.21;0.0
20180111:1510;522.18;606.82;16.54;6.89;4.21;0.0
20180111:1610;289.28;349.85;8.31;6.39;3.38;0.0
20180111:1710;0.0;0.0;0.0;5.27;2.83;0.0
20180111:1810;0.0;0.0;0.0;4.1;2.55;0.0
20180111:1910;0.0;0.0;0.0;4.08;2.76;0.0
20180111:2010;0.0;0.0;0.0;3.58;2.69;0.0
20180111:2110;0.0;0.0;0.0;2.91;2.28;0.0
20180111:2210;0.0;0.0;0.0;2.15;2.0;0.0
20180111:2310;0.0;0.0;0.0;1.5;1.93;0.0
20180112:0010;0.0;0.0;0.0;1.13;1.86;0.0
20180112:0110;0.0;0.0;0.0;0.69;1.72;0.0
20180112:0210;0.0;0.0;0.0;0.35;1.45;0.0
20180112:0310;0.0;0.0;0.0;-0.53;1.52;0.0
20180112:0410;0.0;0.0;0.0;-0.96;1.45;0.0
20180112:0510;0.0;0.0;0.0;-1.5;1.38;0.0
20180112:0610;0.0;0.0;0.0;-2.0;1.24;0.0
20180112:0710;0.0;0.0;0.0;-1.82;0.97;0.0
20180112:0810;183.84;222.05;4.61;-2.01;0.97;0.0
20180112:0910;467.82;539.07;13.47;-0.21;0.83;0.0
20180112:1010;618.14;734.38;20.68;2.7;0.69;0.0
20180112:1110;740.5;915.69;25.67;5.04;0.48;0.0
20180112:1210;758.86;957.5;27.86;6.65;0.28;0.0
20180112:1310;687.82;848.39;26.95;7.79;0.83;0.0
20180112:1410;634.86;770.45;23.08;8.32;1.31;0.0
20180112:1510;192.13;235.19;16.73;8.47;1.66;0.0
20180112:1610;22.15;39.64;8.49;8.0;1.52;0.0
20180112:1710;0.0;0.0;0.0;6.97;1.24;0.0
20180112:1810;0.0;0.0;0.0;5.55;0.9;0.0
20180112:1910;0.0;0.0;0.0;4.82;0.69;0.0
20180112:2010;0.0;0.0;0.0;4.71;0.34;0.0
20180112:2110;0.0;0.0;0.0;4.27;0.14;0.0
20180112:2210;0.0;0.0;0.0;4.02;0.0;0.0
20180112:2310;0.0;0.0;0.0;3.71;0.28;0.0
20180113:0010;0.0;0.0;0.0;3.33;0.41;0.0
20180113:0110;0.0;0.0;0.0;2.78;0.76;0.0
20180113:0210;0.0;0.0;0.0;0.86;1.17;0.0
20180113:0310;0.0;0.0;0.0;-0.28;1.31;0.0
20180113:0410;0.0;0.0;0.0;-1.06;1.31;0.0
20180113:0510;0.0;0.0;0.0;-1.27;1.24;0.0
20180113:0610;0.0;0.0;0.0;-1.01;1.17;0.0
20180113:0710;0.0;0.0;0.0;0.31;0.97;0.0
20180113:0810;82.91;110.58;4.67;0.58;0.9;0.0
20180113:0910;451.72;527.46;13.55;2.01;0.48;0.0
20180113:1010;490.91;578.52;20.8;3.29;0.34;0.0
20180113:1110;178.5;217.37;25.81;4.53;0.97;0.0
20180113:1210;85.9;114.31;28.02;5.0;1.72;0.0
20180113:1310;236.95;280.9;27.13;4.61;2.28;0.0
20180113:1410;16.94;32.27;23.27;3.73;1.93;0.0
20180113:1510;30.05;48.86;16.91;3.71;1.86;0.0
20180113:1610;3.62;12.91;8.67;3.78;1.52;0.0
20180113:1710;0.0;0.0;0.0;3.73;1.24;0.0
20180113:1810;0.0;0.0;0.0;3.63;1.1;0.0
20180113:1910;0.0;0.0;0.0;3.06;1.66;0.0
20180113:2010;0.0;0.0;0.0;2.61;2.07;0.0
20180113:2110;0.0;0.0;0.0;2.42;2.14;0.0
20180113:2210;0.0;0.0;0.0;1.94;2.0;0.0
20180113:2310;0.0;0.0;0.0;1.52;2.07;0.0
20180114:0010;0.0;0.0;0.0;1.45;2.07;0.0
20180114:0110;0.0;0.0;0.0;1.05;1.86;0.0
20180114:0210;0.0;0.0;0.0;1.21;1.59;0.0
20180114:0310;0.0;0.0;0.0;1.22;1.38;0.0
20180114:0410;0.0;0.0;0.0;0.99;1.45;0.0
20180114:0510;0.0;0.0;0.0;0.95;1.38;0.0
20180114:0610;0.0;0.0;0.0;0.91;1.24;0.0
20180114:0710;0.0;0.0;0.0;0.05;0.69;0.0
20180114:0810;35.82;55.6;4.74;-0.3;0.48;0.0
20180114:0910;430.88;501.44;13.64;1.35;0.41;0.0
20180114:1010;613.68;731.57;20.91;2.82;0.48;0.0
20180114:1110;632.87;768.19;25.95;4.46;0.28;0.0
20180114:1210;434.38;514.82;28.19;5.72;0.69;0.0
20180114:1310;35.66;56.23;27.32;6.07;0.83;0.0
20180114:1410;483.54;574.01;23.46;6.19;0.9;0.0
20180114:1510;498.09;590.94;17.11;6.46;1.31;0.0
20180114:1610;292.56;356.01;8.86;6.3;1.52;0.0
20180114:1710;0.0;0.0;0.0;5.64;0.97;0.0
20180114:1810;0.0;0.0;0.0;4.21;0.9;0.0
20180114:1910;0.0;0.0;0.0;3.26;1.59;0.0
20180114:2010;0.0;0.0;0.0;2.17;1.72;0.0
20180114:2110;0.0;0.0;0.0;1.23;1.86;0.0
20180114:2210;0.0;0.0;0.0;0.36;1.79;0.0
20180114:2310;0.0;0.0;0.0;-0.33;1.59;0.0
20180115:0010;0.0;0.0;0.0;-1.17;1.45;0.0
20180115:0110;0.0;0.0;0.0;-1.76;1.45;0.0
20180115:0210;0.0;0.0;0.0;-2.11;1.38;0.0
20180115:0310;0.0;0.0;0.0;-2.34;1.38;0.0
20180115:0410;0.0;0.0;0.0;-2.5;1.24;0.0
20180115:0510;0.0;0.0;0.0;-2.65;1.24;0.0
20180115:0610;0.0;0.0;0.0;-2.75;1.24;0.0
20180115:0710;0.0;0.0;0.0;-2.01;1.03;0.0
20180115:0810;195.55;235.22;4.82;-2.13;0.9;0.0
20180115:0910;479.19;553.12;13.74;-0.36;0.69;0.0
20180115:1010;648.18;774.12;21.04;2.12;0.48;0.0
20180115:1110;752.53;935.98;26.1;4.31;0.21;0.0
20180115:1210;785.16;980.43;28.37;6.02;0.69;0.0
20180115:1310;708.54;868.08;27.51;7.27;1.17;0.0
20180115:1410;464.82;552.82;23.66;7.99;1.38;0.0
20180115:1510;466.97;555.0;17.3;8.16;1.72;0.0
20180115:1610;143.65;183.03;9.05;7.82;1.72;0.0
20180115:1710;0.0;0.0;0.0;6.5;1.72;0.0
20180115:1810;0.0;0.0;0.0;5.07;1.79;0.0
20180115:1910;0.0;0.0;0.0;4.27;1.72;0.0
20180115:2010;0.0;0.0;0.0;3.98;1.79;0.0
20180115:2110;0.0;0.0;0.0;3.21;1.72;0.0
20180115:2210;0.0;0.0;0.0;2.38;1.72;0.0
20180115:2310;0.0;0.0;0.0;2.05;1.72;0.0
20180116:0010;0.0;0.0;0.0;2.15;1.72;0.0
20180116:0110;0.0;0.0;0.0;2.28;1.66;0.0
20180116:0210;0.0;0.0;0.0;2.93;1.52;0.0
20180116:0310;0.0;0.0;0.0;3.13;1.45;0.0
20180116:0410;0.0;0.0;0.0;2.98;1.45;0.0
20180116:0510;0.0;0.0;0.0;2.96;1.52;0.0
20180116:0610;0.0;0.0;0.0;2.86;1.38;0.0
20180116:0710;0.0;0.0;0.0;2.6;1.24;0.0
20180116:0810;183.62;225.8;4.9;2.3;1.31;0.0
20180116:0910;456.08;534.32;13.85;4.14;1.1;0.0
20180116:1010;629.03;753.26;21.17;6.81;1.52;0.0
