Fecha;Hora;Consumo (kWh);Metodo_obtencion
19/11/2022;12;0,155;R
19/11/2022;13;0,249;R
19/11/2022;14;0,326;R
19/11/2022;15;0,362;R
19/11/2022;16;0,121;R
19/11/2022;17;0,059;R
19/11/2022;18;0,089;R
19/11/2022;19;0,167;R
19/11/2022;20;0,157;R
19/11/2022;21;0,123;R
19/11/2022;22;0,127;R
19/11/2022;23;0,115;R
19/11/2022;24;0,104;R
20/11/2022;1;0,086;R
20/11/2022;2;0,068;R
20/11/2022;3;0,055;R
20/11/2022;4;0,05;R
20/11/2022;5;0,051;R
20/11/2022;6;0,049;R
20/11/2022;7;0,048;R
20/11/2022;8;0,047;R
20/11/2022;9;0,093;R
20/11/2022;10;0,123;R
20/11/2022;11;0,341;R
20/11/2022;12;0,078;R
20/11/2022;13;0,06;R
20/11/2022;14;0,124;R
20/11/2022;15;1,091;R
20/11/2022;16;0,293;R
20/11/2022;17;0,095;R
20/11/2022;18;0,136;R
20/11/2022;19;0,173;R
20/11/2022;20;0,16;R
20/11/2022;21;0,126;R
20/11/2022;22;0,113;R
20/11/2022;23;0,531;R
20/11/2022;24;0,095;R
21/11/2022;1;0,057;R
21/11/2022;2;0,05;R
21/11/2022;3;0,05;R
21/11/2022;4;0,052;R
21/11/2022;5;0,052;R
21/11/2022;6;0,051;R
21/11/2022;7;0,05;R
21/11/2022;8;0,114;R
21/11/2022;9;0,252;R
21/11/2022;10;0,111;R
21/11/2022;11;0,111;R
21/11/2022;12;0,111;R
21/11/2022;13;0,727;R
21/11/2022;14;1,087;R
21/11/2022;15;0,689;R
21/11/2022;16;0,26;R
21/11/2022;17;0,147;R
21/11/2022;18;0,114;R
21/11/2022;19;0,159;R
21/11/2022;20;0,345;R
21/11/2022;21;0,14;R
21/11/2022;22;0,168;R
21/11/2022;23;0,108;R
21/11/2022;24;0,066;R
22/11/2022;1;0,053;R
22/11/2022;2;0,05;R
22/11/2022;3;0,049;R
22/11/2022;4;0,048;R
22/11/2022;5;0,053;R
22/11/2022;6;0,045;R
22/11/2022;7;0,047;R
22/11/2022;8;0,533;R
22/11/2022;9;0,989;R
22/11/2022;10;0,141;R
22/11/2022;11;0,111;R
22/11/2022;12;0,099;R
22/11/2022;13;0,101;R
22/11/2022;14;0,107;R
22/11/2022;15;0,354;R
22/11/2022;16;0,084;R
22/11/2022;17;0,11;R
22/11/2022;18;0,164;R
22/11/2022;19;0,183;R
22/11/2022;20;0,167;R
22/11/2022;21;0,312;R
22/11/2022;22;0,617;R
22/11/2022;23;0,122;R
22/11/2022;24;0,078;R
23/11/2022;1;0,052;R
23/11/2022;2;0,094;R
23/11/2022;3;0,065;R
23/11/2022;4;0,056;R
23/11/2022;5;0,05;R
23/11/2022;6;0,049;R
23/11/2022;7;0,05;R
23/11/2022;8;0,086;R
23/11/2022;9;0,237;R
23/11/2022;10;0,155;R
23/11/2022;11;0,111;R
23/11/2022;12;0,107;R
23/11/2022;13;0,109;R
23/11/2022;14;0,108;R
23/11/2022;15;0,615;R
23/11/2022;16;0,399;R
23/11/2022;17;0,282;R
23/11/2022;18;0,283;R
23/11/2022;19;0,295;R
23/11/2022;20;0,352;R
23/11/2022;21;0,31;R
23/11/2022;22;0,272;R
23/11/2022;23;0,12;R
23/11/2022;24;0,091;R
24/11/2022;1;0,062;R
24/11/2022;2;0,05;R
24/11/2022;3;0,047;R
24/11/2022;4;0,045;R
24/11/2022;5;0,047;R
24/11/2022;6;0,047;R
24/11/2022;7;0,046;R
24/11/2022;8;0,17;R
24/11/2022;9;0,194;R
24/11/2022;10;0,116;R
24/11/2022;11;0,086;R
24/11/2022;12;0,092;R
24/11/2022;13;0,047;R
24/11/2022;14;0,065;R
24/11/2022;15;0,184;R
24/11/2022;16;0,54;R
24/11/2022;17;0,254;R
24/11/2022;18;0,098;R
24/11/2022;19;0,048;R
24/11/2022;20;0,045;R
24/11/2022;21;0,043;R
24/11/2022;22;0,042;R
24/11/2022;23;0,042;R
24/11/2022;24;0,044;R
25/11/2022;1;0,044;R
25/11/2022;2;0,043;R
25/11/2022;3;0,044;R
25/11/2022;4;0,043;R
25/11/2022;5;0,042;R
25/11/2022;6;0,043;R
25/11/2022;7;0,042;R
25/11/2022;8;0,041;R
25/11/2022;9;0,041;R
