CUPS;Fecha;Hora;Consumo (kWh);Metodo_obtencion
ES0021000004465414FF;07/03/2022;9;0,563;R
ES0021000004465414FF;07/03/2022;10;0,233;R
ES0021000004465414FF;07/03/2022;11;0,227;R
ES0021000004465414FF;07/03/2022;12;0,249;R
ES0021000004465414FF;07/03/2022;13;0,359;R
ES0021000004465414FF;07/03/2022;14;0,866;R
ES0021000004465414FF;07/03/2022;15;1,085;R
ES0021000004465414FF;07/03/2022;16;0,386;R
ES0021000004465414FF;07/03/2022;17;0,418;R
ES0021000004465414FF;07/03/2022;18;0,35;R
ES0021000004465414FF;07/03/2022;19;0,448;R
ES0021000004465414FF;07/03/2022;20;0,545;R
ES0021000004465414FF;07/03/2022;21;1,382;R
ES0021000004465414FF;07/03/2022;22;0,843;R
ES0021000004465414FF;07/03/2022;23;0,342;R
ES0021000004465414FF;07/03/2022;24;0,309;R
ES0021000004465414FF;08/03/2022;1;0,248;R
ES0021000004465414FF;08/03/2022;2;0,146;R
ES0021000004465414FF;08/03/2022;3;0,183;R
ES0021000004465414FF;08/03/2022;4;0,154;R
ES0021000004465414FF;08/03/2022;5;0,147;R
ES0021000004465414FF;08/03/2022;6;0,204;R
ES0021000004465414FF;08/03/2022;7;0,334;R
ES0021000004465414FF;08/03/2022;8;0,334;R
ES0021000004465414FF;08/03/2022;9;0,14;R
ES0021000004465414FF;08/03/2022;10;0,2;R
ES0021000004465414FF;08/03/2022;11;0,213;R
ES0021000004465414FF;08/03/2022;12;0,218;R
ES0021000004465414FF;08/03/2022;13;0,252;R
ES0021000004465414FF;08/03/2022;14;0,258;R
ES0021000004465414FF;08/03/2022;15;1,263;R
ES0021000004465414FF;08/03/2022;16;0,466;R
ES0021000004465414FF;08/03/2022;17;0,502;R
ES0021000004465414FF;08/03/2022;18;0,328;R
ES0021000004465414FF;08/03/2022;19;0,362;R
ES0021000004465414FF;08/03/2022;20;0,321;R
ES0021000004465414FF;08/03/2022;21;0,52;R
ES0021000004465414FF;08/03/2022;22;1,026;R
ES0021000004465414FF;08/03/2022;23;0,443;R
ES0021000004465414FF;08/03/2022;24;0,48;R
ES0021000004465414FF;09/03/2022;1;0,402;R
ES0021000004465414FF;09/03/2022;2;0,286;R
ES0021000004465414FF;09/03/2022;3;0,276;R
ES0021000004465414FF;09/03/2022;4;0,147;R
ES0021000004465414FF;09/03/2022;5;0,211;R
ES0021000004465414FF;09/03/2022;6;0,175;R
ES0021000004465414FF;09/03/2022;7;0,3;R
ES0021000004465414FF;09/03/2022;8;0,338;R
ES0021000004465414FF;09/03/2022;9;0,154;R
ES0021000004465414FF;09/03/2022;10;0,152;R
ES0021000004465414FF;09/03/2022;11;0,172;R
ES0021000004465414FF;09/03/2022;12;0,246;R
ES0021000004465414FF;09/03/2022;13;0,238;R
ES0021000004465414FF;09/03/2022;14;0,306;R
ES0021000004465414FF;09/03/2022;15;1,431;R
ES0021000004465414FF;09/03/2022;16;0,517;R
ES0021000004465414FF;09/03/2022;17;0,551;R
ES0021000004465414FF;09/03/2022;18;1,002;R
ES0021000004465414FF;09/03/2022;19;0,63;R
ES0021000004465414FF;09/03/2022;20;0,58;R
